"tree_number","wER","wSYM","wARD"
1,0.417039581353905,0.417039581353905,0.16592083729219
2,0.40553481820077,0.40553481820077,0.188930363598461
3,0.415405265412509,0.415405265412509,0.169189469174982
4,0.399265477867953,0.399265477867953,0.201469044264094
5,0.403220948996843,0.403220948996843,0.193558102006313
6,0.416319333628696,0.416319333628696,0.167361332742608
7,0.405512693563091,0.405512693563091,0.188974612873817
8,0.405005876373752,0.405005876373752,0.189988247252496
9,0.401973740653946,0.401973740653946,0.196052518692108
10,0.409130162519526,0.409130162519526,0.181739674960948
11,0.413017693578466,0.413017693578466,0.173964612843069
12,0.405324320256067,0.405324320256067,0.189351359487865
13,0.404518748678699,0.404518748678699,0.190962502642603
14,0.416058222280188,0.416058222280188,0.167883555439623
15,0.402956207830994,0.402956207830994,0.194087584338011
16,0.405160585858802,0.405160585858802,0.189678828282396
17,0.405376316415478,0.405376316415478,0.189247367169045
18,0.402042527137065,0.402042527137065,0.195914945725869
19,0.405119315355486,0.405119315355486,0.189761369289027
20,0.411660891278124,0.411660891278124,0.176678217443753
21,0.411361549447698,0.411361549447698,0.177276901104604
22,0.420568310522183,0.420568310522183,0.158863378955634
23,0.406629946921494,0.406629946921494,0.186740106157012
24,0.408667265949307,0.408667265949307,0.182665468101386
25,0.412434474757464,0.412434474757464,0.175131050485072
26,0.413589159311247,0.413589159311247,0.172821681377506
27,0.401379421998139,0.401379421998139,0.197241156003722
28,0.405837474094742,0.405837474094742,0.188325051810516
29,0.403907283843811,0.403907283843811,0.192185432312379
30,0.410388152437939,0.410388152437939,0.179223695124123
31,0.417312959228864,0.417312959228864,0.165374081542271
32,0.40540262333003,0.40540262333003,0.18919475333994
33,0.408586014678738,0.408586014678738,0.182827970642525
34,0.404558329606725,0.404558329606725,0.190883340786551
35,0.405473021719668,0.405473021719668,0.189053956560665
36,0.411358343095006,0.411358343095006,0.177283313809988
37,0.403332987437915,0.403332987437915,0.19333402512417
38,0.414643261554469,0.414643261554469,0.170713476891061
39,0.40953296070031,0.40953296070031,0.180934078599379
40,0.406431090252954,0.406431090252954,0.187137819494093
41,0.401231668460119,0.401231668460119,0.197536663079763
42,0.417731421218159,0.417731421218159,0.164537157563681
43,0.411490022760182,0.411490022760182,0.177019954479636
44,0.405128810058423,0.405128810058423,0.189742379883154
45,0.407557252549794,0.407557252549794,0.184885494900412
46,0.40262721336848,0.40262721336848,0.194745573263039
47,0.411964778416079,0.411964778416079,0.176070443167841
48,0.405283710573159,0.405283710573159,0.189432578853682
49,0.404508922549575,0.404508922549575,0.19098215490085
50,0.409695951789934,0.409695951789934,0.180608096420133
