"tree_number","wER","wSYM","wARD"
1,0.432689436391584,0.432689436391584,0.134621127216833
2,0.43491830001728,0.43491830001728,0.130163399965441
3,0.436548682278524,0.436548682278524,0.126902635442951
4,0.425240365747231,0.425240365747231,0.149519268505539
5,0.432168328928687,0.432168328928687,0.135663342142627
6,0.441299107530097,0.441299107530097,0.117401784939805
7,0.439415839568947,0.439415839568947,0.121168320862106
8,0.427414491638238,0.427414491638238,0.145171016723524
9,0.443414039127442,0.443414039127442,0.113171921745116
10,0.434496323326525,0.434496323326525,0.131007353346951
11,0.438845965998566,0.438845965998566,0.122308068002868
12,0.42151201971421,0.42151201971421,0.15697596057158
13,0.433430495543812,0.433430495543812,0.133139008912376
14,0.446543528853598,0.446543528853598,0.106912942292803
15,0.428108931991977,0.428108931991977,0.143782136016046
16,0.431536605434948,0.431536605434948,0.136926789130104
17,0.436948549562359,0.436948549562359,0.126102900875281
18,0.423315323819241,0.423315323819241,0.153369352361517
19,0.429256250156054,0.429256250156054,0.141487499687893
20,0.439878602288612,0.439878602288612,0.120242795422777
21,0.437029855178772,0.437029855178772,0.125940289642456
22,0.43409553426584,0.43409553426584,0.131808931468319
23,0.436533924361138,0.436533924361138,0.126932151277725
24,0.425763372390459,0.425763372390459,0.148473255219083
25,0.429024349523016,0.429024349523016,0.141951300953969
26,0.423458776781526,0.423458776781526,0.153082446436949
27,0.434866748089123,0.434866748089123,0.130266503821753
28,0.439519458609174,0.439519458609174,0.120961082781651
29,0.423431816676079,0.423431816676079,0.153136366647842
30,0.429380079258183,0.429380079258183,0.141239841483634
31,0.416661055841895,0.416661055841895,0.166677888316211
32,0.410919777210604,0.410919777210604,0.178160445578792
33,0.438822763977123,0.438822763977123,0.122354472045753
34,0.440356301993096,0.440356301993096,0.119287396013807
35,0.416967170312319,0.416967170312319,0.166065659375362
36,0.423344391574672,0.423344391574672,0.153311216850656
37,0.422771129203229,0.422771129203229,0.154457741593541
38,0.432503321360392,0.432503321360392,0.134993357279216
39,0.440088416474128,0.440088416474128,0.119823167051745
40,0.431791103575168,0.431791103575168,0.136417792849663
41,0.432401209646582,0.432401209646582,0.135197580706836
42,0.422346965832389,0.422346965832389,0.155306068335223
43,0.434503170311533,0.434503170311533,0.130993659376935
44,0.42091454816026,0.42091454816026,0.158170903679479
45,0.416038489466688,0.416038489466688,0.167923021066623
46,0.444071047149175,0.444071047149175,0.111857905701651
47,0.431151208195703,0.431151208195703,0.137697583608594
48,0.435577968479754,0.435577968479754,0.128844063040493
49,0.442427578764652,0.442427578764652,0.115144842470697
50,0.425787900749954,0.425787900749954,0.148424198500093
