"model","logLik","k","AIC","AIC_weight","nsim","tree_number","dataset","trait"
"ARD",-18.2391154462082,2,40.4782308924163,0.176678217443753,4,20,"Hand","Cave_karstic_deposit"
"ER",-18.2210130992819,1,38.4420261985638,0.411361549447698,8,21,"Hand","Cave_karstic_deposit"
"SYM",-18.2210130992819,1,38.4420261985638,0.411361549447698,8,21,"Hand","Cave_karstic_deposit"
"ARD",-18.062772686264,2,40.125545372528,0.177276901104604,4,21,"Hand","Cave_karstic_deposit"
"ER",-18.6091162478173,1,39.2182324956346,0.420568310522183,9,22,"Hand","Cave_karstic_deposit"
"SYM",-18.6091162478173,1,39.2182324956346,0.420568310522183,8,22,"Hand","Cave_karstic_deposit"
"ARD",-18.582678583743,2,41.1653571674859,0.158863378955634,3,22,"Hand","Cave_karstic_deposit"
"ER",-17.998458547684,1,37.9969170953679,0.406629946921494,8,23,"Hand","Cave_karstic_deposit"
"SYM",-17.998458547684,1,37.9969170953679,0.406629946921494,8,23,"Hand","Cave_karstic_deposit"
"ARD",-17.7766442546805,2,39.5532885093609,0.186740106157012,4,23,"Hand","Cave_karstic_deposit"
"ER",-18.2155355180154,1,38.4310710360308,0.408667265949307,8,24,"Hand","Cave_karstic_deposit"
"SYM",-18.2155355180154,1,38.4310710360308,0.408667265949307,8,24,"Hand","Cave_karstic_deposit"
"ARD",-18.0207803755066,2,40.0415607510133,0.182665468101386,4,24,"Hand","Cave_karstic_deposit"
"ER",-18.4360336723107,1,38.8720673446214,0.412434474757464,8,25,"Hand","Cave_karstic_deposit"
"SYM",-18.4360336723107,1,38.8720673446214,0.412434474757464,8,25,"Hand","Cave_karstic_deposit"
"ARD",-18.2925764628123,2,40.5851529256245,0.175131050485072,4,25,"Hand","Cave_karstic_deposit"
"ER",-18.2582881232448,1,38.5165762464895,0.413589159311247,8,26,"Hand","Cave_karstic_deposit"
"SYM",-18.2582881232448,1,38.5165762464895,0.413589159311247,8,26,"Hand","Cave_karstic_deposit"
"ARD",-18.130900916099,2,40.2618018321979,0.172821681377506,4,26,"Hand","Cave_karstic_deposit"
