"node","clade_signature","trait_1_p1_mean","trait_1_p1_sd","trait_1_n_matching_trees","n_total_trees","trait_2_p1_mean","trait_2_p1_sd","trait_2_n_matching_trees","trait_1","trait_2"
30,"Ageina_tobieni||Archaeonyct_brailloni||Archaeonyct_storchi||Archaeonyct_trigonodon||Cambaya_complexus||Eppsinycteris_anglica||Erinaceus_europaeus||Hassianycteris_messelensis||Honrovits_joeli||Honrovits_tsuwape||Icaronyct_sigei||Icaronycteris_index||Maelestes_gobiensis||Myotis_lucifugus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_tupaiodon||Protonycteris_gunnelli||Protungulatum_donnae||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Solenodon_paradoxus||Sorex_araneus||Ukhaatherium_nessovi||Vielasia_sigei||Vulpavus_profectus||Zalambdalestes_lechei",0,0,50,50,0,0,50,"Echolocation","Cave_deposit"
31,"Ageina_tobieni||Archaeonyct_brailloni||Archaeonyct_storchi||Archaeonyct_trigonodon||Cambaya_complexus||Eppsinycteris_anglica||Erinaceus_europaeus||Hassianycteris_messelensis||Honrovits_joeli||Honrovits_tsuwape||Icaronyct_sigei||Icaronycteris_index||Maelestes_gobiensis||Myotis_lucifugus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_tupaiodon||Protonycteris_gunnelli||Protungulatum_donnae||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Solenodon_paradoxus||Sorex_araneus||Vielasia_sigei||Vulpavus_profectus",0,0,41,50,0,0,41,"Echolocation","Cave_deposit"
32,"Ageina_tobieni||Archaeonyct_brailloni||Archaeonyct_storchi||Archaeonyct_trigonodon||Cambaya_complexus||Eppsinycteris_anglica||Erinaceus_europaeus||Hassianycteris_messelensis||Honrovits_joeli||Honrovits_tsuwape||Icaronyct_sigei||Icaronycteris_index||Myotis_lucifugus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_tupaiodon||Protonycteris_gunnelli||Protungulatum_donnae||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Solenodon_paradoxus||Sorex_araneus||Vielasia_sigei||Vulpavus_profectus",0.001,0.00707106781186548,50,50,0,0,50,"Echolocation","Cave_deposit"
33,"Ageina_tobieni||Archaeonyct_brailloni||Archaeonyct_storchi||Archaeonyct_trigonodon||Cambaya_complexus||Eppsinycteris_anglica||Erinaceus_europaeus||Hassianycteris_messelensis||Honrovits_joeli||Honrovits_tsuwape||Icaronyct_sigei||Icaronycteris_index||Myotis_lucifugus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_tupaiodon||Protonycteris_gunnelli||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Solenodon_paradoxus||Sorex_araneus||Vielasia_sigei||Vulpavus_profectus",0.0125,0.027505980211009,20,50,0.005,0.0153896752812773,20,"Echolocation","Cave_deposit"
34,"Ageina_tobieni||Archaeonyct_brailloni||Archaeonyct_storchi||Archaeonyct_trigonodon||Cambaya_complexus||Eppsinycteris_anglica||Hassianycteris_messelensis||Honrovits_joeli||Honrovits_tsuwape||Icaronyct_sigei||Icaronycteris_index||Myotis_lucifugus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_tupaiodon||Protonycteris_gunnelli||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Vielasia_sigei||Vulpavus_profectus",0.0520408163265306,0.0520007849234323,49,50,0.0336734693877551,0.0437651820110757,49,"Echolocation","Cave_deposit"
35,"Ageina_tobieni||Archaeonyct_brailloni||Archaeonyct_storchi||Archaeonyct_trigonodon||Cambaya_complexus||Eppsinycteris_anglica||Hassianycteris_messelensis||Honrovits_joeli||Honrovits_tsuwape||Icaronyct_sigei||Icaronycteris_index||Myotis_lucifugus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_tupaiodon||Protonycteris_gunnelli||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Vielasia_sigei",0.39,0.285892801374136,50,50,0.263,0.116850680925072,50,"Echolocation","Cave_deposit"
36,"Archaeonyct_brailloni||Archaeonyct_storchi||Archaeonyct_trigonodon||Cambaya_complexus||Hassianycteris_messelensis||Icaronyct_sigei||Icaronycteris_index||Myotis_lucifugus||Nycteris_thebaica||Palaeochiropteryx_tupaiodon||Protonycteris_gunnelli||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Vielasia_sigei",0.926470588235294,0.0752446988556825,17,50,0.411764705882353,0.124410374070937,17,"Echolocation","Cave_deposit"
37,"Cambaya_complexus||Myotis_lucifugus||Nycteris_thebaica||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Vielasia_sigei",0.904,0.12406384136683,50,50,0.743,0.160359926797342,50,"Echolocation","Cave_deposit"
38,"Myotis_lucifugus||Nycteris_thebaica||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata||Vielasia_sigei",0.992647058823529,0.0217852916088191,34,50,0.942647058823529,0.0697749118553415,34,"Echolocation","Cave_deposit"
39,"Myotis_lucifugus||Nycteris_thebaica||Pteronotus_parnellii||Pteropus_giganteus||Rhinopoma_hardwickii||Saccopteryx_bilineata",0.992,0.0233867222053499,50,50,0.936,0.0728711471134677,50,"Echolocation","Cave_deposit"
