"node","clade_signature","trait_1_p1_mean","trait_1_p1_sd","trait_1_n_matching_trees","n_total_trees","trait_2_p1_mean","trait_2_p1_sd","trait_2_n_matching_trees","trait_1","trait_2"
93,"Khonsunycteris_aegypticus||Witwatia_eremicus||Witwatia_schlosseri||Witwatia_sigei",0.95,0.0391230398217976,50,50,0.284,0.11581124685435,50,"Echolocation","Cave_deposit"
94,"Witwatia_eremicus||Witwatia_schlosseri||Witwatia_sigei",0.952,0.0377424137532083,50,50,0.3,0.121218305346265,50,"Echolocation","Cave_deposit"
95,"Witwatia_eremicus||Witwatia_sigei",0.952,0.039070840946221,50,50,0.316,0.114481974340852,50,"Echolocation","Cave_deposit"
96,"Ageina_tobieni||Archaeonycteris_brailloni||Archaeonycteris_pollex||Archaeonycteris_praecursor||Archaeonycteris_storchi||Archaeonycteris_trigonodon||Australonycteris_clarkae||Carcinipteryx_liaudae||Carcinipteryx_maximinensis||Carcinipteryx_trassounius||Chadronycteris_rabenae||Chambinycteris_pusilli||Cistugo_lesueuri||Craseonycteris_thonglongyai||Cuvierimops_parisiensis||Dizzya_exsultans||Eppsinycteris_anglica||Furipterus_horrens||Hassianycteris_magna||Hassianycteris_messelensis||Hipposideros_commersoni||Honrovits_tsuwape||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sigei||Icaronycteris_sp||Jaegeria_cambayensis||Khoufechia_gunnelli||Lapichiropteryx_xiei||Macrotus_waterhousii||Marnenycteris_michauxi||Megaderma_lyra||Microchiropteryx_folieae||Miniopterus_schreibersii||Mixopteryx_dubia||Mixopteryx_perrierensis||Mixopteryx_weithoferi||Myotis_lucifugus||Mystacina_tuberculata||Myzopoda_aurita||Natalus_stramineus||Noctilio_leporinus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_sambuceus||Palaeochiropteryx_spiegeli||Palaeochiropteryx_tupaiodon||Palaeophyllophora_tunisiensis||Phasmatonycteris_butleri||Phasmatonycteris_phiomensis||Philisis_sphingis||Premonycteris_vesper||Protonycteris_gunnelli||Pseudorhinolophus_africanum||Pseudovespertiliavus_parva||Pteronotus_parnellii||Rhinolophus_ferrumequinum||Rhinonicteris_aurantia||Rhinopoma_hardwickii||Saccopteryx_bilineata||Saharaderma_pseudovampyrus||Stehlinia_minor||Tachypteron_franzeni||Tadarida_brasiliensis||Thyroptera_tricolor||Vespertiliavus_aenigma||Vespertiliavus_kasserinensis||Vespertiliavus_wingei||Xylonycteris_stenodon",0.983,0.0329036937322315,50,50,0.167,0.0689646463702932,50,"Echolocation","Cave_deposit"
97,"Ageina_tobieni||Archaeonycteris_brailloni||Archaeonycteris_pollex||Archaeonycteris_praecursor||Archaeonycteris_storchi||Archaeonycteris_trigonodon||Australonycteris_clarkae||Carcinipteryx_liaudae||Carcinipteryx_maximinensis||Carcinipteryx_trassounius||Chadronycteris_rabenae||Chambinycteris_pusilli||Cistugo_lesueuri||Craseonycteris_thonglongyai||Cuvierimops_parisiensis||Dizzya_exsultans||Eppsinycteris_anglica||Furipterus_horrens||Hassianycteris_magna||Hassianycteris_messelensis||Hipposideros_commersoni||Honrovits_tsuwape||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sigei||Icaronycteris_sp||Jaegeria_cambayensis||Lapichiropteryx_xiei||Macrotus_waterhousii||Marnenycteris_michauxi||Megaderma_lyra||Microchiropteryx_folieae||Miniopterus_schreibersii||Mixopteryx_dubia||Mixopteryx_perrierensis||Mixopteryx_weithoferi||Myotis_lucifugus||Mystacina_tuberculata||Myzopoda_aurita||Natalus_stramineus||Noctilio_leporinus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_sambuceus||Palaeochiropteryx_spiegeli||Palaeochiropteryx_tupaiodon||Palaeophyllophora_tunisiensis||Phasmatonycteris_butleri||Phasmatonycteris_phiomensis||Philisis_sphingis||Premonycteris_vesper||Protonycteris_gunnelli||Pseudorhinolophus_africanum||Pseudovespertiliavus_parva||Pteronotus_parnellii||Rhinolophus_ferrumequinum||Rhinonicteris_aurantia||Rhinopoma_hardwickii||Saccopteryx_bilineata||Saharaderma_pseudovampyrus||Stehlinia_minor||Tachypteron_franzeni||Tadarida_brasiliensis||Thyroptera_tricolor||Vespertiliavus_aenigma||Vespertiliavus_kasserinensis||Vespertiliavus_wingei||Xylonycteris_stenodon",0.98,0.0391230398217976,50,50,0.161,0.0672263918048711,50,"Echolocation","Cave_deposit"
98,"Ageina_tobieni||Archaeonycteris_brailloni||Archaeonycteris_pollex||Archaeonycteris_praecursor||Archaeonycteris_storchi||Archaeonycteris_trigonodon||Carcinipteryx_liaudae||Carcinipteryx_maximinensis||Carcinipteryx_trassounius||Chadronycteris_rabenae||Chambinycteris_pusilli||Cistugo_lesueuri||Craseonycteris_thonglongyai||Cuvierimops_parisiensis||Dizzya_exsultans||Eppsinycteris_anglica||Furipterus_horrens||Hassianycteris_magna||Hassianycteris_messelensis||Hipposideros_commersoni||Honrovits_tsuwape||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sigei||Icaronycteris_sp||Jaegeria_cambayensis||Lapichiropteryx_xiei||Macrotus_waterhousii||Marnenycteris_michauxi||Megaderma_lyra||Microchiropteryx_folieae||Miniopterus_schreibersii||Mixopteryx_dubia||Mixopteryx_perrierensis||Mixopteryx_weithoferi||Myotis_lucifugus||Mystacina_tuberculata||Myzopoda_aurita||Natalus_stramineus||Noctilio_leporinus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_sambuceus||Palaeochiropteryx_spiegeli||Palaeochiropteryx_tupaiodon||Palaeophyllophora_tunisiensis||Phasmatonycteris_butleri||Phasmatonycteris_phiomensis||Philisis_sphingis||Premonycteris_vesper||Protonycteris_gunnelli||Pseudorhinolophus_africanum||Pseudovespertiliavus_parva||Pteronotus_parnellii||Rhinolophus_ferrumequinum||Rhinonicteris_aurantia||Rhinopoma_hardwickii||Saccopteryx_bilineata||Saharaderma_pseudovampyrus||Stehlinia_minor||Tachypteron_franzeni||Tadarida_brasiliensis||Thyroptera_tricolor||Vespertiliavus_aenigma||Vespertiliavus_kasserinensis||Vespertiliavus_wingei||Xylonycteris_stenodon",0.977,0.0393959492375362,50,50,0.156,0.0682432623571211,50,"Echolocation","Cave_deposit"
99,"Chambinycteris_pusilli||Pseudorhinolophus_africanum||Pseudovespertiliavus_parva||Vespertiliavus_aenigma||Vespertiliavus_kasserinensis||Vespertiliavus_wingei",0.965,0.0431537356199806,50,50,0.17,0.0782460796435952,50,"Echolocation","Cave_deposit"
100,"Chambinycteris_pusilli||Pseudovespertiliavus_parva||Vespertiliavus_aenigma||Vespertiliavus_kasserinensis||Vespertiliavus_wingei",0.959,0.0470453537145003,50,50,0.177,0.0815725544080425,50,"Echolocation","Cave_deposit"
101,"Chambinycteris_pusilli||Pseudovespertiliavus_parva||Vespertiliavus_aenigma||Vespertiliavus_kasserinensis",0.959,0.0459480629602154,50,50,0.189,0.0852906196244251,50,"Echolocation","Cave_deposit"
102,"Pseudovespertiliavus_parva||Vespertiliavus_aenigma||Vespertiliavus_kasserinensis",0.955,0.0465657314657332,50,50,0.197,0.0853623728224418,50,"Echolocation","Cave_deposit"
103,"Vespertiliavus_aenigma||Vespertiliavus_kasserinensis",0.955,0.0497442438470861,50,50,0.217,0.0866673207719952,50,"Echolocation","Cave_deposit"
104,"Ageina_tobieni||Archaeonycteris_brailloni||Archaeonycteris_pollex||Archaeonycteris_praecursor||Archaeonycteris_storchi||Archaeonycteris_trigonodon||Carcinipteryx_liaudae||Carcinipteryx_maximinensis||Carcinipteryx_trassounius||Chadronycteris_rabenae||Cistugo_lesueuri||Craseonycteris_thonglongyai||Cuvierimops_parisiensis||Dizzya_exsultans||Eppsinycteris_anglica||Furipterus_horrens||Hassianycteris_magna||Hassianycteris_messelensis||Hipposideros_commersoni||Honrovits_tsuwape||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sigei||Icaronycteris_sp||Jaegeria_cambayensis||Lapichiropteryx_xiei||Macrotus_waterhousii||Marnenycteris_michauxi||Megaderma_lyra||Microchiropteryx_folieae||Miniopterus_schreibersii||Mixopteryx_dubia||Mixopteryx_perrierensis||Mixopteryx_weithoferi||Myotis_lucifugus||Mystacina_tuberculata||Myzopoda_aurita||Natalus_stramineus||Noctilio_leporinus||Nycteris_thebaica||Onychonycteris_finneyi||Palaeochiropteryx_sambuceus||Palaeochiropteryx_spiegeli||Palaeochiropteryx_tupaiodon||Palaeophyllophora_tunisiensis||Phasmatonycteris_butleri||Phasmatonycteris_phiomensis||Philisis_sphingis||Premonycteris_vesper||Protonycteris_gunnelli||Pteronotus_parnellii||Rhinolophus_ferrumequinum||Rhinonicteris_aurantia||Rhinopoma_hardwickii||Saccopteryx_bilineata||Saharaderma_pseudovampyrus||Stehlinia_minor||Tachypteron_franzeni||Tadarida_brasiliensis||Thyroptera_tricolor||Xylonycteris_stenodon",0.975,0.041954786158824,50,50,0.159,0.071919739846525,50,"Echolocation","Cave_deposit"
105,"Ageina_tobieni||Archaeonycteris_brailloni||Archaeonycteris_pollex||Archaeonycteris_praecursor||Archaeonycteris_storchi||Archaeonycteris_trigonodon||Dizzya_exsultans||Eppsinycteris_anglica||Hassianycteris_magna||Hassianycteris_messelensis||Honrovits_tsuwape||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sigei||Icaronycteris_sp||Jaegeria_cambayensis||Lapichiropteryx_xiei||Marnenycteris_michauxi||Onychonycteris_finneyi||Palaeochiropteryx_sambuceus||Palaeochiropteryx_spiegeli||Palaeochiropteryx_tupaiodon||Palaeophyllophora_tunisiensis||Philisis_sphingis||Premonycteris_vesper||Protonycteris_gunnelli||Xylonycteris_stenodon",0.972,0.0475523342202664,50,50,0.164,0.0735679610833356,50,"Echolocation","Cave_deposit"
