"node","clade_signature","trait_1_p1_mean","trait_1_p1_sd","trait_1_n_matching_trees","n_total_trees","trait_2_p1_mean","trait_2_p1_sd","trait_2_n_matching_trees","trait_1","trait_2"
47,"Archaeonyct_trigonodon||Hassianycteris_messelensis||Icaronyct_sigei||Icaronycteris_index||Palaeochiropteryx_tupaiodon",0.986458333333333,0.0267764252721421,48,50,0.348958333333333,0.180863644222432,48,"Echolocation","Cave_karstic_deposit"
48,"Hassianycteris_messelensis||Icaronyct_sigei||Icaronycteris_index||Palaeochiropteryx_tupaiodon",0.992857142857143,0.0204124145231932,49,50,0.345918367346939,0.174056005921309,49,"Echolocation","Cave_karstic_deposit"
49,"Hassianycteris_messelensis||Palaeochiropteryx_tupaiodon",1,0,50,50,0.363,0.163135726639269,50,"Echolocation","Cave_karstic_deposit"
50,"Icaronyct_sigei||Icaronycteris_index",1,0,21,50,0.380952380952381,0.184035452071191,21,"Echolocation","Cave_karstic_deposit"
51,"Ageina_tobieni||Eppsinycteris_anglica||Honrovits_joeli||Honrovits_tsuwape||Onychonycteris_finneyi",0.298979591836735,0.206026342348489,49,50,0.319387755102041,0.184790513862605,49,"Echolocation","Cave_karstic_deposit"
52,"Ageina_tobieni||Eppsinycteris_anglica||Honrovits_joeli||Honrovits_tsuwape",0.301063829787234,0.212768848268983,47,50,0.325531914893617,0.183229584077015,47,"Echolocation","Cave_karstic_deposit"
53,"Ageina_tobieni||Honrovits_joeli||Honrovits_tsuwape",0.3046875,0.232573046104216,32,50,0.34375,0.188692444760455,32,"Echolocation","Cave_karstic_deposit"
54,"Honrovits_joeli||Honrovits_tsuwape",0.35,0.20727509006864,28,50,0.323214285714286,0.161292317362643,28,"Echolocation","Cave_karstic_deposit"
55,"Erinaceus_europaeus||Solenodon_paradoxus||Sorex_araneus",0.01,0.0202030508910442,50,50,0.005,0.0151522881682832,50,"Echolocation","Cave_karstic_deposit"
56,"Erinaceus_europaeus||Sorex_araneus",0.021,0.032087253493166,50,50,0.014,0.0226778683805536,50,"Echolocation","Cave_karstic_deposit"
57,"Ukhaatherium_nessovi||Zalambdalestes_lechei",0,0,26,50,0,0,26,"Echolocation","Cave_karstic_deposit"
