"tree_number","wER","wSYM","wARD"
1,0.074734361527111,0.074734361527111,0.850531276945778
2,0.0765492689041585,0.0765492689041585,0.846901462191683
3,0.080278859635813,0.080278859635813,0.839442280728374
4,0.073090214096986,0.073090214096986,0.853819571806028
5,0.0689162180151279,0.0689162180151279,0.862167563969744
6,0.0720638835668178,0.0720638835668178,0.855872232866364
7,0.0637490843335169,0.0637490843335169,0.872501831332966
8,0.0748651823288867,0.0748651823288867,0.850269635342226
9,0.0715206631942667,0.0715206631942667,0.856958673611466
10,0.078246811717204,0.078246811717204,0.843506376565592
11,0.0751359533487835,0.0751359533487835,0.849728093302433
12,0.0707422721803828,0.0707422721803828,0.858515455639234
13,0.0605349261528053,0.0605349261528053,0.878930147694389
14,0.078012461188726,0.078012461188726,0.843975077622548
15,0.0750606004036286,0.0750606004036286,0.849878799192743
16,0.0730345869999865,0.0730345869999865,0.853930826000027
17,0.0730474849658592,0.0730474849658592,0.853905030068282
18,0.0758879845592117,0.0758879845592117,0.848224030881576
19,0.0746477264047831,0.0746477264047831,0.850704547190434
20,0.0754238613779066,0.0754238613779066,0.849152277244187
21,0.0734138739614612,0.0734138739614612,0.853172252077078
22,0.0685390539483189,0.0685390539483189,0.862921892103362
23,0.0749334260424567,0.0749334260424567,0.850133147915087
24,0.0763417777020088,0.0763417777020088,0.847316444595983
25,0.0769223141179184,0.0769223141179184,0.846155371764163
26,0.0755464862876539,0.0755464862876539,0.848907027424692
27,0.0737242279741503,0.0737242279741503,0.852551544051699
28,0.0754524622581647,0.0754524622581647,0.849095075483671
29,0.072355185921539,0.072355185921539,0.855289628156922
30,0.0783640980172338,0.0783640980172338,0.843271803965532
31,0.0727378049802928,0.0727378049802928,0.854524390039414
32,0.0683466108771593,0.0683466108771593,0.863306778245681
33,0.0777752744804335,0.0777752744804335,0.844449451039133
34,0.075205313457764,0.075205313457764,0.849589373084472
35,0.0692491893900664,0.0692491893900664,0.861501621219867
36,0.0775070573013195,0.0775070573013195,0.844985885397361
37,0.0752626780559914,0.0752626780559914,0.849474643888017
38,0.0752647841032027,0.0752647841032027,0.849470431793595
39,0.0713000025051952,0.0713000025051952,0.85739999498961
40,0.0769338359415377,0.0769338359415377,0.846132328116925
41,0.0791444676704192,0.0791444676704192,0.841711064659162
42,0.07435536972429,0.07435536972429,0.85128926055142
43,0.0634724409515803,0.0634724409515803,0.873055118096839
44,0.0758728506396696,0.0758728506396696,0.848254298720661
45,0.0737882463579988,0.0737882463579988,0.852423507284002
46,0.0786191037219013,0.0786191037219013,0.842761792556197
47,0.065566607476776,0.065566607476776,0.868866785046448
48,0.079099024786084,0.079099024786084,0.841801950427832
49,0.0796441758499635,0.0796441758499635,0.840711648300073
50,0.0706105726571249,0.0706105726571249,0.85877885468575
